,企業名,キャッチコピー,ステータス,給与
390,ロビンスジャパン株式会社 | SUUMO 関東 注文住宅・工務店ランキング2016～2020年第1位,【完全反響営業】ショールームでの輸入住宅アドバイザー 正社員,正社員,月給30万〜50万円+歩合 ※経験・能力に応じて優遇します。 未経験者／月給23万〜32万円
391,株式会社ケーシーエス | 完全週休2日or週休2日で働き方を選べる／普通免許があれば応募OK,【総合職(ドライバー・メンテナンス)】未経験OK／月収45万円も可 正社員,正社員,"■月給18万円〜25万7,000円＋諸手当＋賞与年2回 ※残業代100％支給 ★月収45万円以上の社員もいます！ …"
392,株式会社北浦板金 | 大阪府緊急雇用対策に賛同｜月給30万円以上も可／土日休みもOK,"働き方が""3パターン""から選べる！【取付スタッフ】決算賞与あり 正社員",正社員,【1】週休制／月給30万円以上 【2】週休2日制／月給28万8000円以上 【3】完全週休2日制／月給26万4000円…
393,株式会社近畿サービス | 創業63年の安定基盤／エコ事業を展開／大阪府緊急雇用対策に賛同,安定企業で活躍【ドライバー】免許は入社後でもOK◎手当充実◎ 正社員,正社員,月給：26万円〜＋諸手当（運転手当・早朝手当 等）+賞与（年2回） 同じドライバーでも、希望は十人十色…
394,株式会社マリーロード | 《ラシュレディアコート》週休二日／賞与年2回／男女共に活躍中,一生に一度の瞬間を彩る【ウエディングプランナー】◎未経験歓迎 正社員,正社員,■月給20万2600円〜23万4600円＋諸手当＋時間外手当（残業をした場合全額支給）＋賞与（年2回） ※経験…
395,株式会社関塾 | 完全個別指導塾「Dr.関塾」を運営／月給30万（試用期間25万円）,年齢不問！学習塾加盟店の【開発営業】※反響中心＆残業ほぼなし 正社員,正社員,月給30万円スタート＋賞与年2回＋業績に応じたインセンティブあり ※経験、能力を考慮の上、優遇します …
396,株式会社エフテック | ★月給30万円以上！家族手当や住宅手当など待遇も充実！,昨年竣工！最先端設備＆快適な環境で活躍する【整備士】 正社員,正社員,月給30万円〜45万円 ※経験・年齢・能力を考慮のうえ、決定致します。 ※試用期間3ヶ月(期間中の待遇に…
397,株式会社大通 | 全国の公営競技施設の電気工事を手掛ける会社 ★賞与最大150万円,前職給与最大限考慮【電気設備保全（定修工事・一次請け案件)】 正社員,正社員,月給　30万円〜60万円＋諸手当 ※経験・年齢により優遇します。 ※試用期間３ヶ月あり （その期間は日給…
398,株式会社小山電機工事 | ★電話問合せOK(076-274-8004)★Max60万円の職長手当あり,未経験もOK☆【電気工事士】資格をとり稼ぎたいと思いませんか？ 正社員,正社員,月給30万円〜50万円 ＼前職給与考慮／ ※年齢・経験・能力を考慮のうえ、決定。 ※試用期間あり（最大3…
399,鶴ホーム株式会社 | 最大月給45万円＋明瞭なインセンティブ制度あり！完全反響営業,【不動産営業】※未経験者・経験者まで幅広く歓迎！ 正社員,正社員,未経験者：月給21万円〜＋インセンティブ 経験者：月給26万円〜45万円＋インセンティブ ※経験を考慮し…
400,nts株式会社 | 大手各社と安定取引＆案件増を継続中◎,自社サービスの提案・告知をお任せ！【運営スタッフ】女性活躍中 正社員,正社員,月給35〜45万円+賞与年2回 ※経験・能力を考慮の上、決定 試用期間3ヶ月：同条件
401,株式会社倉嶋自動車商会 | 【MAZDA Autozam 焼津】／地域密着×業績好調,【カーライフアドバイザー】未経験歓迎／研修制度◎／ノルマ無し 正社員,正社員,"月給222,000円以上 ※経験・年齢を考慮の上、当社規定により優遇します。 ※試用期間3ヶ月あり（待遇に変…"
402,株式会社エーライド | SNS、動画、広告等の幅広い商材を使い採用を支援！未経験歓迎★,東海エリアの中小企業をバズらせる！【採用プランナー】 正社員,正社員,■月給23万円〜35万円＋インセンティブ ※45時間分・5万4225円〜7万円のみなし残業手当含む（超過分は別…
403,タウンクロス株式会社 | 賞与5～6か月支給実績あり！★12年連続増収増益の安定基盤★,*埼玉限定募集*【通信設備工事】未経験で月給25万円～の好待遇 正社員,正社員,月給25万円 〜 35万円　＋　諸手当 ※経験・年齢を考慮の上、当社規定により優遇します。
404,株式会社ワイズ高橋 | 設立約20年の安定企業！海外報奨旅行・退職金などの制度あり！,＊本当にノルマなし＊ 高級輸入車店の【総合職(営業・買取)】 正社員,正社員,月給25万円以上＋歩合給 (営業経験者は毎月+5万円の手当支給！) ※試用期間3〜6ヵ月あり(期間中、待遇に…
405,株式会社大黒屋 | #大阪府緊急雇用対策に賛同#経験者は収入で優遇#整った労務環境,建築資材・重機を運ぶ【ドライバー】※4tコンテナ/ダンプ車など 正社員,正社員,"◆月給：28万6,000円〜37万4,000円 ※経験・スキルに応じて優遇します ※試用期間3ヶ月（月給28万6,000円）"
406,株式会社川村インターナショナル | 英語力が活かせる／年休125日／コロナ禍でも安定経営！,国内と世界をつなぐ！翻訳／機械翻訳サービスの【企画営業】 正社員,正社員,月給21万円〜25万円＋インセンティブ+賞与年2回 ※半期に一度、インセンティブ支給制度あり ※経験・能力…
407,有限会社ヤマテック | 関西エリアの幅広い電気工事に対応／賞与は最大年100万円も可能,＼経験ゼロでOK・育成枠採用／【電気工事スタッフ】残業少なめ 正社員,正社員,"月給195,000円〜340,000円 + 諸手当 + 賞与年2回 ※年齢・経験・スキルを十分考慮の上、当社規定により…"
408,"株式会社エフ・アール・エス | 【新拠点も立上の成長企業】◆賞与＆歩合で年収1,000万超えOK！",収入と働きやすさを手に！【不動産営業】★土日祝休★年休125日 正社員,正社員,【関東勤務】 月給:32万円〜50万円＋歩合給 ※みなし残業代（20時間分／5万円〜）を含む。 ※超過分は別…
409,株式会社司興業 | 官庁（県・市橋梁補修含む）、民間（開発工事・鉄道土木ほか）,社会インフラを支える【土木施工管理】賞与年2回＋決算賞与あり 正社員,正社員,月給：35万円〜70万円 ※年齢、経験、能力を考慮の上、優遇いたします ※上記には固定残業手当（45時間分…
410,株式会社ヴェス | 市場規模は約5兆円◎累計1万件超の実績【第三者検証の専門企業】,【ソフトウェアテストエンジニア】テスト設計、リーダー 正社員,正社員,◆未経験者：月給21万円以上＋賞与年2回 ◆経験者：月給26万円〜50万円＋賞与年2回 ※経験・スキルに応…
411,株式会社沖縄ユーポス | 【 ユーポスグループ 】20代の若手社員が続々と入社しています,原則残業なし★働きやすい環境・高収入が手に入る！【 営業職 】 正社員,正社員,月給20万円〜30万円 ＋ 諸手当 ＋ インセンティブ ※経験・スキルを考慮して給与を決定します。 　詳し…
412,株式会社EnjoyLifeCompany | 九州電力グループ・株式会社QTnetのパートナー企業,【コンサルティング営業】未経験歓迎！／月収40万円以上も可能 正社員,正社員,月給20万円〜45万円＋インセンティブ＋賞与年2回 ※経験・能力を考慮して決定いたします ※上記には月40…
413,株式会社逢慈 | 社用車は1人1台／有給は10日以上取得／大阪府緊急雇用対策に賛同,未経験歓迎！お客様に寄り添う【フォロー営業】残業少なめ 正社員,正社員,月給21万円〜+諸手当+インセンティブ＋賞与(年2回) ※上記は最低保証金額です ※経験・能力を考慮の上、…
414,株式会社ミナカミ | 創業昭和32年／資格手当も最大5万円と充実／年間休日125日,"消防用設備の【施工管理】30代で年収1,000万の社員も多数在籍！ 正社員",正社員,月給 18万円〜22万円 ※経験・年齢を考慮の上、当社規定により優遇します。 ※試用期間6ヵ月（その間の給…
415,アキバネクサス株式会社 | ◆履歴書不要 ◆面接1回 ◆即時勤務OK ◆コロナ禍でも安定経営,最高水準の高待遇【軽車両ドライバー】◆月80万も可◆週払いOK 業務委託,業務委託,完全歩合給制（1件140円〜500円） ★月収50〜60万円は充分可能 ★週払いOK！ ★1日1万5000円〜2万円保証…
